,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
0,,,,,,,,,,,,,
1,0,0.6214828039720335,275.3168821596108,115.1506439199313,901.5220577015155,0.6994926474328282,0.04881047028609095,8.973721810252817e-05,0.002829194883370956,0.05172940238756443,0.0,4038,5814
2,1,0.5127614758948479,227.15333382141762,147.90442528899663,1265.6236352060287,0.5781254549313237,0.03347497047552403,0.00011916533914972371,0.0031677953348382237,0.03676193114951198,0.0,3341,5814
3,2,0.513812094406899,227.61875782225624,153.9088505353702,1261.8725048465462,0.5793758317178177,0.031044070905225093,0.00015354054285108252,0.004352896914973665,0.03555050836304984,0.0,3318,5814
4,3,0.5713471902206685,253.10680526775616,135.0512497606733,1064.6254610701565,0.6451248463099474,0.04550173181216046,6.232906647474729e-05,0.0035929270127915726,0.04915698789142678,0.0,3706,5814
5,4,0.5394942518176011,238.9959535551973,703.9696729579015,1179.965801692664,0.6066780661024451,0.14139680770260654,0.00010861766439425399,0.00364936042136945,0.14515478578837027,0.0,3513,5814
6,5,0.5963709908197328,264.1923489331416,115.54761266672625,1023.0705430761864,0.6589764856412714,0.3947225721249363,0.00013350791154056755,0.003073739653875094,0.397929819690352,0.0,3830,5814
7,6,0.43623443303742554,193.2518538355795,165.81701004748595,1562.6728331863767,0.47910905560454115,0.10899259045088643,0.00012705148362126626,0.002509405568096313,0.111629047502604,0.0,2772,5814
8,7,0.546919374655334,242.28528297231298,133.23511200553355,1158.9295580266228,0.6136901473244589,0.031134273360603777,0.00012195313559322726,0.003404815650865312,0.03466104214706232,0.0,3557,5814
9,8,0.6128880893665934,271.5094235894009,120.15221761557157,940.2462285645131,0.6865845904784951,0.07147288696821692,7.823737501425376e-05,0.0035628291948833716,0.07511395353811454,0.0,3981,5814
10,9,0.5270066315124458,233.46393776001347,138.17274874255483,1235.8158207481,0.588061393083966,0.13244453479283444,0.00010243101437861949,0.003856282919488337,0.1364032487267014,0.0,3398,5814
11,10,0.6108672651109069,270.6141984441318,115.36863218543769,944.3806663614786,0.6852064445461733,0.03897027200099124,8.325505256232903e-05,0.0030850263355906697,0.04213855338914425,0.0,3869,5814
